date,correlation_36m,n,as_of
2012-04,0.8361,36,2026-07
2012-05,0.8667,36,2026-07
2012-06,0.8538,36,2026-07
2012-07,0.8433,36,2026-07
2012-08,0.8446,36,2026-07
2012-09,0.8574,36,2026-07
2012-10,0.8588,36,2026-07
2012-11,0.8544,36,2026-07
2012-12,0.8495,36,2026-07
2013-01,0.8592,36,2026-07
2013-02,0.8594,36,2026-07
2013-03,0.8551,36,2026-07
2013-04,0.8597,36,2026-07
2013-05,0.8397,36,2026-07
2013-06,0.835,36,2026-07
2013-07,0.8475,36,2026-07
2013-08,0.878,36,2026-07
2013-09,0.8667,36,2026-07
2013-10,0.8695,36,2026-07
2013-11,0.8695,36,2026-07
2013-12,0.8603,36,2026-07
2014-01,0.8481,36,2026-07
2014-02,0.8508,36,2026-07
2014-03,0.844,36,2026-07
2014-04,0.8392,36,2026-07
2014-05,0.8374,36,2026-07
2014-06,0.8342,36,2026-07
2014-07,0.8439,36,2026-07
2014-08,0.826,36,2026-07
2014-09,0.784,36,2026-07
2014-10,0.7937,36,2026-07
2014-11,0.792,36,2026-07
2014-12,0.7925,36,2026-07
2015-01,0.7495,36,2026-07
2015-02,0.7495,36,2026-07
2015-03,0.7352,36,2026-07
2015-04,0.727,36,2026-07
2015-05,0.6699,36,2026-07
2015-06,0.7354,36,2026-07
2015-07,0.7374,36,2026-07
2015-08,0.7817,36,2026-07
2015-09,0.7921,36,2026-07
2015-10,0.7319,36,2026-07
2015-11,0.7344,36,2026-07
2015-12,0.7528,36,2026-07
2016-01,0.7686,36,2026-07
2016-02,0.7653,36,2026-07
2016-03,0.7467,36,2026-07
2016-04,0.7454,36,2026-07
2016-05,0.7443,36,2026-07
2016-06,0.7409,36,2026-07
2016-07,0.7371,36,2026-07
2016-08,0.7274,36,2026-07
2016-09,0.7201,36,2026-07
2016-10,0.7115,36,2026-07
2016-11,0.7051,36,2026-07
2016-12,0.7038,36,2026-07
2017-01,0.7236,36,2026-07
2017-02,0.7123,36,2026-07
2017-03,0.7179,36,2026-07
2017-04,0.7247,36,2026-07
2017-05,0.7224,36,2026-07
2017-06,0.7204,36,2026-07
2017-07,0.7165,36,2026-07
2017-08,0.7019,36,2026-07
2017-09,0.7019,36,2026-07
2017-10,0.7198,36,2026-07
2017-11,0.6971,36,2026-07
2017-12,0.6995,36,2026-07
2018-01,0.7665,36,2026-07
2018-02,0.7685,36,2026-07
2018-03,0.8014,36,2026-07
2018-04,0.8019,36,2026-07
2018-05,0.8091,36,2026-07
2018-06,0.8043,36,2026-07
2018-07,0.79,36,2026-07
2018-08,0.7502,36,2026-07
2018-09,0.734,36,2026-07
2018-10,0.835,36,2026-07
2018-11,0.7997,36,2026-07
2018-12,0.8116,36,2026-07
2019-01,0.8182,36,2026-07
2019-02,0.8236,36,2026-07
2019-03,0.836,36,2026-07
2019-04,0.8432,36,2026-07
2019-05,0.8491,36,2026-07
2019-06,0.8516,36,2026-07
2019-07,0.8516,36,2026-07
2019-08,0.8576,36,2026-07
2019-09,0.8458,36,2026-07
2019-10,0.8433,36,2026-07
2019-11,0.8454,36,2026-07
2019-12,0.8455,36,2026-07
2020-01,0.8467,36,2026-07
2020-02,0.8569,36,2026-07
2020-03,0.8471,36,2026-07
2020-04,0.8641,36,2026-07
2020-05,0.8654,36,2026-07
2020-06,0.8599,36,2026-07
2020-07,0.8636,36,2026-07
2020-08,0.868,36,2026-07
2020-09,0.863,36,2026-07
2020-10,0.8598,36,2026-07
2020-11,0.8786,36,2026-07
2020-12,0.863,36,2026-07
2021-01,0.8596,36,2026-07
2021-02,0.8471,36,2026-07
2021-03,0.8421,36,2026-07
2021-04,0.8443,36,2026-07
2021-05,0.8438,36,2026-07
2021-06,0.8425,36,2026-07
2021-07,0.8415,36,2026-07
2021-08,0.8433,36,2026-07
2021-09,0.8355,36,2026-07
2021-10,0.8174,36,2026-07
2021-11,0.8222,36,2026-07
2021-12,0.8209,36,2026-07
2022-01,0.8214,36,2026-07
2022-02,0.818,36,2026-07
2022-03,0.8175,36,2026-07
2022-04,0.7943,36,2026-07
2022-05,0.7905,36,2026-07
2022-06,0.7993,36,2026-07
2022-07,0.7825,36,2026-07
2022-08,0.7694,36,2026-07
2022-09,0.7773,36,2026-07
2022-10,0.7687,36,2026-07
2022-11,0.7632,36,2026-07
2022-12,0.7536,36,2026-07
2023-01,0.758,36,2026-07
2023-02,0.7514,36,2026-07
2023-03,0.6991,36,2026-07
2023-04,0.6628,36,2026-07
2023-05,0.6575,36,2026-07
2023-06,0.6654,36,2026-07
2023-07,0.6583,36,2026-07
2023-08,0.6498,36,2026-07
2023-09,0.6449,36,2026-07
2023-10,0.6478,36,2026-07
2023-11,0.6103,36,2026-07
2023-12,0.6531,36,2026-07
2024-01,0.6513,36,2026-07
2024-02,0.6974,36,2026-07
2024-03,0.693,36,2026-07
2024-04,0.6885,36,2026-07
2024-05,0.6929,36,2026-07
2024-06,0.6873,36,2026-07
2024-07,0.699,36,2026-07
2024-08,0.6951,36,2026-07
2024-09,0.6982,36,2026-07
2024-10,0.6963,36,2026-07
2024-11,0.7307,36,2026-07
2024-12,0.7278,36,2026-07
2025-01,0.711,36,2026-07
2025-02,0.711,36,2026-07
2025-03,0.726,36,2026-07
2025-04,0.7374,36,2026-07
2025-05,0.7638,36,2026-07
2025-06,0.7344,36,2026-07
2025-07,0.7526,36,2026-07
2025-08,0.7644,36,2026-07
2025-09,0.7226,36,2026-07
2025-10,0.7419,36,2026-07
2025-11,0.7591,36,2026-07
2025-12,0.7624,36,2026-07
2026-01,0.7284,36,2026-07
2026-02,0.7081,36,2026-07
2026-03,0.8003,36,2026-07
2026-04,0.8353,36,2026-07
2026-05,0.8377,36,2026-07
2026-06,0.8394,36,2026-07
2026-07,0.8254,36,2026-07
